@relation sentimentAnalysis

@attribute tweets string
@attribute sentiment{positive, negative}


@data
 '17 ağustos depreminde hayatını kaybeden vatandaşlarımızı rahmetle anıyoruz',negative
 '20142015 eğitimöğretim yılının güz döneminde tüm öğrencilerimize yağmurluk hediye edeceğiz',positive
 '20162017 eğitimöğretim yılı farabi değişim programı başvuruları',positive
 '2016 2017 erasmus programı öğrenci öğrenim hareketliliği başvuruları',positive
 '20 ocak 1989 kırmızı beyaza siyahın eklendiği bu tarihte samsunsporumuzun futbol şehitlerini saygıyla anıyoruz',negative
 '21 sayı muğla sıtkı koçman üniversitesi',positive
 '22 aralık 1914de sarıkamışta şehit olan 60 bin türk askerini saygıyla anıyoruz',positive
 '29 ekim cumhuriyet bayramı kutlu olsun',positive
 '29 mayıs 1453 İstanbulun fethinin 561 yıldönümü kutlu olsun',positive
 '2lig futsal maçları muğla üniversitesi eski besyo spor salonu',positive
 '2 nisan otizm farkındalık gününde otizmli çocuklara ve ailelere destek için',positive
 '2 vesikalık fotoğraf ile birlikte muharlıktan ikametgah belgeni alıp m kapı güvenliğine başvuruyorsun',positive
 '2 yıl önce bugün hayata gözlerini yuman ediz bahtiyaroğlunu saygıyla anıyoruz',positive
 '58 şiddetinde hissedenler',negative
 '7 mart pazartesi akşamı hepinizi sokak hayvanları için'positive
 '%7si en son kütüphanede uyurken görüntülendi',negative
 '8 uluslararası doğu akdeniz jeolojisi sempozyumu',positive
 'abone olduk muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',negative
 'aklı başında olan ve iq seviyesi normal olan her insan bu tweetin espri amacıyla yazıldığını farketmiştir',negative
 'akşama bekleme yâr cimbomun maçı var aksiyon macera ve adrenalin dolu finaller yarın kaldığı yerden devam ediyor',positive
 'akşam aksam ne vakası bu ya muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',negative
 'allah dualarımızı kabul etsin hayırlı cumalar',positive
 'allah katında ders yapıyolar abi bu ne 8 kat da ders mi olur abv msku',negative
 'allah yardımcımız olsun',negative
 'alttan aldığın derse girince tanıdık birini görmektir mutluluk',positive
 'altta yazıyor zaten adam haklı beyler',positive
 'an itibariyle birinci sınıf öğrencilerimiz'positive
 'annenle oturup karşılıklı çay içebiliyorsan eğer şükretmek için çok sebebin var demektir kutlu olsun',positive
 'aq yeri muğla sıtkı koçman üniversitesi köyceğiz meslek yüksekokulu in muğla köyceğiz',negative
 'arada bir sosyal medyada ülke gündeminde olacağız hazırlıklı olun',positive
 'aramıza bir jammer girmemeli',negative
 'araş gör hilal küçük İçin lokma dökülecektir',positive
 'arkadaşlar bütlerin etkisiyle otogardaki ikna uzmanı adamlara uyup yanlış bir şehire gitmeyin lütfen kendi memleketinize gidin',negative
 'arkadaşlarımız göktepe köyü İlköğretim okuluna kütüphane oluşturmak için eğitim fakültesinde kermes düzenliyor',positive
 'arkadaşlar kampüste şenlik alanında çok fazla sayıda kene görüldü lütfen dikkatli olun',negative
 'arkadaşlar siz öğrencisiniz tavuğa da girebilirsiniz kötekli de fazlasıyla var',positive
 'arkadaşlar sorularınızı facebooktan yazarsanız daha iyi olur burda bildirimlerin arasında kayboluyor',negative
 'armoni solfej öğrenim metodolojisi',positive
 'atm kullanımı okullarda zorunlu ders olmalı',positive
 'aydın gelsin bizde 45 yıl besyo okusun şampiyonlar ligi için sonra düşünürsünüz vizeleri erken yapsak kalmayacak mısınız',negative
 'aynen belkide namık hoca benimdir',positive
 'ayrıca kampüsümüzde ayda bir köpük partisi düzenliyoruz',positive
